Q_ID,Domain,Question,Answer,Difficulty,Source
32,Networking,Wireless TCP: Which mechanism does TCP use to detect bit errors?,Internet checksum.,Easy,UMass CMPSCI453 Final 2002
33,Networking,AIMD sawtooth: relation between (W_{\min}) and (W_{\max}) after a loss,(W_{\min}= \frac{1}{2} W_{\max}),Easy,Stanford CS144 Midterm Fall 2020
34,Networking,Ideal buffer for full utilization with AIMD on a single bottleneck,Buffer = one BDP,Easy,Stanford CS144 Midterm Fall 2020
35,Networking,Data in flight just before a loss with AIMD at steady state,2 × BDP,Easy,Stanford CS144 Midterm Fall 2020
36,Networking,"Why does UDP exist? Would it not have been enough to just let user processes send
raw IP packets?","No. IP packets contain IP addresses, which specify a destination machine.
Once such a packet arrived, how would the network handler know which process
to give it to? UDP packets contain a destination port. This information
is essential so they can be delivered to the correct process.",Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
37,Networking,"Both UDP and TCP use port numbers to identify the destination entity when delivering
a message. Give two reasons why these protocols invented a new abstract ID (port
numbers), instead of using process IDs, which already existed when these protocols
were designed.","Here are three reasons. First, process IDs are OS-specific. Using process IDs
would have made these protocols OS-dependent. Second, a single process
may establish multiple channels of communications. A single process ID (per
process) as the destination identifier cannot be used to distinguish between
these channels. Third, having processes listen on well-known ports is easy,
but well-known process IDs are impossible.",Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
38,Networking,"Datagram fragmentation and reassembly are handled by IP and are invisible to TCP.
Does this mean that TCP does not have to worry about data arriving in the wrong
order?","Even though each datagram arrives intact, it is possible that datagrams arrive
in the wrong order, so TCP has to be prepared to reassemble the parts of a
message properly.",Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
39,Networking,"RTP is used to transmit CD-quality audio, which makes a pair of 16-bit samples
44,100 times/sec, one sample for each of the stereo channels. How many packets per
second must RTP transmit?","Each sample occupies 4 bytes. This gives a total of 256 samples per packet.
There are 44,100 samples/sec, so with 256 samples/packet, it takes 44100/256
or 172 packets to transmit one second’s worth of music.",Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
40,Networking,Give one reason that DNS lookups are run over UDP rather than TCP.,"Avoids connection setup overhead for short, small queries.",Easy,CMU 15-441 Final Spring 2005 
41,Networking,You turn on a laptop and browse to https colon slash slash cs144 dot stanford dot edu. In order of first use which protocols and messages are involved to obtain an IP address learn the local MAC next hop resolve the hostname open a TCP connection establish security verify server identity and request the page root path Give protocol or flag names,DHCP then ARP then DNS then TCP SYN then TLS and CA verify then HTTP GET slash,Easy,Stanford CS144 Final Spring 2023 Ans
42,Networking,"Can a machine with a single DNS name have multiple IP addresses? How could this
occur?","Yes. If a machine has two Ethernet cards, it can be on two separate networks,
and if so, it needs two IP addresses.",Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
43,Networking,"Suppose that you want to send an MP3 file to a friend, but your friend’s ISP limits the
size of each incoming message to 1 MB and the MP3 file is 4 MB. Is there a way to
handle this situation by using RFC 5322 and MIME?","Yes. Use the message/external-body subtype and just send the URL of the file
instead of the actual file.",Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
44,Networking,"When Web pages are sent out, they are prefixed by MIME headers. Why?","The browser has to be able to know whether the page is text, audio, video, or
something else. The MIME headers provide this information",Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
45,Networking,What is the main difference between HTTP and HTTPS,HTTP traffic is sent in clear text while HTTPS encrypts the application data using transport layer security on top of TCP,Easy,University of Calgary Final F2018 solution Q2
46,Networking,Is DHCP considered an application layer protocol,True DHCP runs in the application layer and typically uses UDP,Easy,University of Calgary Final F2021 solution Q9
47,Networking,In the same home networking question what is one reason to use DHCP in a home network,DHCP makes it easy to add new devices or allow guests on WiFi because IP configuration is assigned automatically,Easy,University of Calgary Final F2021 solution Q24 example 4
48,Networking,"Alice used a transposition cipher to encrypt her messages to Bob. For added security,
she encrypted the transposition cipher key using a substitution cipher, and kept the encrypted
cipher in her computer. Trudy managed to get hold of the encrypted
transposition cipher key. Can Trudy decipher Alice’s messages to Bob? Why or why
not?","By getting hold of the encrypted key, Trudy now knows the length of the key.
She can therefore determine how many columns there were in the transposition
cipher matrix, and can break the ciphertext into columns. Subsequently,
all Trudy has to do in order to decipher the message is try out all the arrangements
of the columns until she finds one that makes sense. Assuming that the
length of the encrypted key is k characters, finding the correct arrangement of
the columns would require at most 2^k attempts.",Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
49,Networking,"You are a spy, and, conveniently, have a library with an infinite number of books at
your disposal. Your operator also has such a library at his disposal. You have agreed to use Lord of the Rings as a one-time pad. Explain how you could use these assets to
generate an infinitely long one-time pad.","You could use ASCII representation of the characters in Lord of the Rings to
encrypt your messages. This will give you a one-time pad which is as long as
the number of bits required to represent all the characters in Lord of the
Rings. When you are near the end of the book, and your key is almost used
up, you use the last portion of the book to send a message announcing the
name of the next book you will be using as your one-time pad, and switch to
that book for your subsequent messages. By continuing in this routine, because
you have an infinite number of books, you also have an infinitely long
one-time pad.",Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
50,Networking,"Quantum cryptography requires having a photon gun that can, on demand, fire a single
photon carrying 1 bit. In this problem, calculate how many photons a bit carries on a
250-Gbps fiber link. Assume that the length of a photon is equal to its wavelength,
which for purposes of this problem, is 1 micron. The speed of light in fiber is 20
cm/nsec.","At 250 Gbps, a bit takes 4 × 10−12 sec to be transmitted. With the speed of
light being 2 × 108 meters/sec, in 1 bit time, the light pulse achieves a length
of 0.8 mm or 800 microns. Since a photon is about 1 micron in length, the
pulse is 800 photons long. Thus, we are nowhere near one photon per bit
even at 250 Gbps. Only at 200 Tbps do we achieve 1 bit per photon.",Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
51,Networking,"If Trudy captures and regenerates photons when quantum cryptography is in use, she
will get some of them wrong and cause errors to appear in Bob’s one-time pad. What
fraction of Bob’s one-time pad bits will be in error, on average?","Half the time Trudy will guess right. All those bits will be regenerated correctly.
The other half she will guess wrong and send random bits to Bob.
Half of these will be wrong. Thus, 25% of the bits she puts on the fiber will
be wrong. Bob’s one-time pad will thus be 75% right and 25% wrong",Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
52,Networking,"Alice wants to send a message to Bob using SHA-1 hashes. She consults with you
regarding the appropriate signature algorithm to be used. What would you suggest?","The recommended method would be by using HMACs, since they are computationally
faster than using RSA. However, this requires establishing a shared
key with Bob prior to the transmission of the message.",Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
53,Networking,"Give one reason why a firewall might be configured to inspect incoming traffic. Give
one reason why it might be configured to inspect outgoing traffic. Do you think the
inspections are likely to be successful?","Incoming traffic might be inspected for the presence of viruses. Outgoing
traffic might be inspected to see if company confidential information is leaking
out. Checking for viruses might work if a good antivirus program is used.
Checking outgoing traffic, which might be encrypted, is nearly hopeless
against a serious attempt to leak information",Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
54,Networking,ElGamal variant decryption blank: compute (K = H(______)) before decrypting (C_2). What goes in the blank?,(C_1^b \bmod p),Easy,Berkeley CS161 Spring 2025 Midterm Q7
55,Networking,True or False: Cipher Block Chaining (CBC) mode encryption is secure under indistinguishability under chosen plaintext attack (IND CPA) even if the initialization vector (IV) is reused across multiple encryptions with the same key.,False,Easy,Berkeley CS161 Spring 2025 Midterm Q2
56,Networking,Why can the IP UDP and TCP checksums not protect against a malicious party that modifies packets in transit Give one to two concise sentences,Unkeyed checksums cannot stop intentional modification,Easy,Stanford CS144 Final Spring 2023 Ans
57,Networking,How does a MAC or an AEAD cipher preserve integrity against intentional modification by an adversary Give one to two concise sentences,Secret key tag prevents forgeries,Easy,Stanford CS144 Final Spring 2023 Ans
58,Networking,If an attacker host C must guess a 32 bit TCP sequence number chosen uniformly at random how many guesses are needed on average to get the correct value.,Approximately 2^31 guesses.,Easy,Final_2007_soln Q20 part a
59,Networking,If the attacker already knows 12 bits of the 32 bit TCP sequence number how many guesses are needed on average to guess the remaining bits correctly.,Approximately 2^19 guesses.,Easy,Final_2007_soln Q20 follow up
60,Networking,"Link layer. Which of the following are true?
(a.) An Ethernet switch can interconnect a 10Mb/s Ethernet network and a 1Gb/s Ethernet.
(b.) An Ethernet hub can interconnect a 10Mb/s Ethernet network and a 1Gb/s Ethernet.
(c.) An Ethernet network cannot detect collisions until it has computed a checksum over the frame.
(d.) 4B/5B is considered more efficient than Manchester encoding because more user data is transmitted in same amount of time.
(e.) The 802.11b wireless protocol incorporates a link-layer ACK not present in regular Ethernet.","a,d,e",Medium,Stanford – CS244a Final 2007
61,Networking,"CSMA/CD. In a CSMA/CD network we require TRANSP >2PROP because:
(a.) PROP is the round-trip time from a source to the destination and back again. Therefore, it must be at least twice the one way propagation delay.
(b.) Otherwise, the signal would degrade too much along the wire making it difficult to detect collisions.
(c.) The sender needs to unambiguously determine that a packet encountered a collision before it finishes transmitting the packet.
(d.) In any network (regardless of whether we use CSMA/CD or not) the transmission time of a packet is a function of both the data rate, and speed of propagation
along the wire.",c,Medium,Stanford – CS244a Final 2007
62,Networking,Why can WiFi not use collision detection like Ethernet,In air the local transmit power swamps the receiver and signals lose strength quickly so a sender cannot listen while sending and collision detection is not feasible WiFi must use collision avoidance,Medium,Book (Computer Networking Problems and Solutions.)
63,Networking,When is RTS CTS expected to help throughput,Throughput benefit depends on the number of senders and receivers and on frame length,Medium,Book (Computer Networking Problems and Solutions.)
64,Networking,"If Parallel Iterative Matching (PIM) runs to completion in each cell time until no more connections can be added, what is the maximum number of iterations required for an N×N switch? Options: A) log₂(N), B) N/2, C) N, D) log₂(N)+1.",C) N.,Medium,Stanford CS244 Midterm 2016
65,Networking,"Parallel Iterative Matching (PIM): The paper proves a lower bound on the expected fraction of unresolved requests resolved each iteration. Options: A) 3/4, B) 1/4, C) 1/2, D) None.",A) 3/4.,Medium,Stanford CS244 Midterm 2016 
66,Networking,"Parallel Iterative Matching (PIM) tuning: If outputs are twice as likely to grant a requester that received no other grants (2k/n), what happens to convergence time? Options: A) No effect, B) Faster resolves ≥7/8, C) Faster resolves ≥3/8, D) Slower resolves ≥1/8.","B) Converges faster, resolving at least 7/8 per iteration.",Medium,Stanford CS244 Midterm 2016 
67,Networking,"For IP telephony only, which MACs fit: TDMA, CSMA, Slotted Aloha, Token Passing?","Good: TDMA, Token. Bad: CSMA, Slotted Aloha.",Medium,UMass CMPSCI453 Final 2002
68,Networking,"For occasional data bursts, which MACs fit?","Good: CSMA, Slotted Aloha; OK: Token; Poor: TDMA.",Medium,UMass CMPSCI453 Final 2002
69,Networking,"For a LAN mixing voice (priority) and data, what access strategy?",Priority token or TDMA for voice plus random access for data.,Medium,UMass CMPSCI453 Final 2002
70,Networking,"An upper-layer packet is split into 10 frames, each of which has an 80% chance of arriving  undamaged. If no error control is done by the data link protocol, how many times must the message be sent on average to get the entire thing through?","Since each frame has a chance of 0.8 of getting through, the probability that all 10 frames of the message get through in one attempt is p = 0.8^10 ≈ 0.107. The expected number of transmissions is E = Σ_{i=1}^{∞} i·p·(1−p)^{i−1}. Using the geometric series formula S = Σ_{i=0}^{∞} α^i = 1/(1−α) and differentiating to get Σ_{i=1}^{∞} i·α^{i−1} = 1/(1−α)^2, then setting α = 1−p gives E = p · (1/p^2) = 1/p ≈ 1/0.107 ≈ 9.3, so on average the entire message must be sent about 9.3 times.",Medium,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
71,Networking,"Compute the fraction of the bandwidth that is wasted on overhead (headers and retransmissions)
for protocol 6 on a heavily loaded 50-kbps satellite channel with data
frames consisting of 40 header and 3960 data bits. Assume that the signal propagation
time from the earth to the satellite is 270 msec. ACK frames never occur. NAK frames
are 40 bits. The error rate for data frames is 1%, and the error rate for NAK frames is
negligible. The sequence numbers are 8 bits.","With a 50-kbps channel and 8-bit sequence numbers, the pipe is always full. The number of retransmissions per frame is about 0.01. Each good frame wastes 40 header bits, plus 1% of 4000 bits (retransmission), plus a 40-bit NAK once every 100 frames. The total overhead is 80.4 bits per 3960 data bits, giving 80.4/(3960 + 80.4) = 1.99%.",Medium,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
72,Networking,"The distance from earth to a distant planet is approximately 9 × 1010 m. What is the
channel utilization if a stop-and-wait protocol is used for frame transmission on a 64
Mbps point-to-point link? Assume that the frame size is 32 KB and the speed of light
is 3 × 108 m/s.","Link utilization = (1/(1 + 2BD))
BD = bandwidth-delay product / frame size
delay = (9 × 1010)/(3 × 108) = 300 sec
bandwidth-delay product = 64 ×300 = 19.2 Gb
BD = 19200000 / 256 = 75000
So, link utilization is 6.67 × 10−4%",Medium,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
73,Networking,"A switch designed for use with fast Ethernet has a backplane that can move 10 Gbps.
How many frames/sec can it handle in the worst case?","The worst case is an endless stream of 64-byte (512-bit) frames. If the backplane
can handle 109 bps, the number of frames it can handle is 109 /512. This
is 1,953,125 frames/sec.",Medium,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
74,Networking,"The Ethernet network has two end hosts connected by two store and forward Ethernet switches. The link from host A to the first switch runs at 100 Mb per second. The other two links run at 1 Gb per second. All links are 200 meters long and propagation speed is 2×10^8 meters per second. If host A sends a 1000 bit packet to host B and there is no other traffic, how long is it from the first bit leaving A until the last bit reaches B",Propagation delay is 600 meters divided by 2×10^8 meters per second which is 3 microseconds. Transmission delay is 1000 times the sum of 1 over 100×10^6 plus 1 over 10^9 plus 1 over 10^9 which is about 12 microseconds. Total end to end latency is 15 microseconds,Medium,CS144 practice final answers question 2
75,Networking,"Assuming that there are 100 million households in the US, and that each household has two HDTVs, and that each HDTV is used to watch 4 hours of video per day. We’ll assume that each (compressed) video stream runs at 9Mb/s. If all households are watching TV at the same time, but all watching video on-demand (i.e. data is delivered unicast to every household), then
which of the following is the closest approximation of the total peak aggregate data rate delivered to all homes?
(a.) 100 Tb/s ( 12 100!10b/s)
(b.) 2 Pb/s ( 15 2!10b/s)
(c.) 1 Pb/s
(d.) 100 Gb/s
(e.) 2 Tb/s",b,Medium,Standford Final 2007
76,Networking,"Now let’s compare our answer above with an estimate of the future capacity needed to carry web traffic. We’ll assume 100 million people download an average of 100 web pages per day, each containing 1Mbyte of data. If the peak traffic is five times the average, then which of the following is the closest estimate of the capacity needed by the network to deliver this traffic?
(a.) 10Gb/s
(b.) 500Gb/s
(c.) 1 Tb/s
(d.) 5 Tb/s
(e.) 10 Tb/s",d,Medium,Standford Final 2007
77,Networking,"Three users are sharing a common link of 1 Mb/s. User A is downloading large files and is connected to the common link via a slow access link at x Mb/s, user B is connected via a 100 Mb/s link, but the application she is using requires at most x Mb/s, and finally user C is connected via a 1 Gb/s link and is downloading a movie that can take up any amount of bandwidth available to it. What is the max-min fair allocation for these three flows at the common link?","Two Cases: 1) If x < 1/3Mb/s then A and B get x Mb/s, C gets (1-2x)Mb/s, otherwise A, B,
and C get 1/3 Mb/s",Medium,Standford Final 2007
78,Networking,Why is switched Ethernet considered superior to shared Ethernet,It isolates each station in its own collision domain allows different link speeds on segments and uses selective forwarding between segments which improves performance and reduces collisions,Medium,University of Calgary Final F2018 solution Q2
79,Networking,Which local area network technology Ethernet or Wi Fi has the higher bit error rate and why,Wi Fi has a higher bit error rate because it sends over a wireless air interface that is more susceptible to interference noise multipath fading and limits on radio frequency power,Medium,University of Calgary Final F2018 solution Q2
80,Networking,Which technology Ethernet or Wi Fi provides better support for mobile users and how,Wi Fi provides better mobility support because radio signals propagate in all directions mobile devices can roam and reassociate with access points and multiple access points can form an extended service set for campus wide coverage,Medium,University of Calgary Final F2018 solution Q2
81,Networking,Conceptually how does the Pure ALOHA medium access protocol work,Stations send whenever they have data without sensing the channel which gives very low access delay but many collisions and a maximum throughput of about one divided by two e or around eighteen percent,Medium,University of Calgary Final F2018 solution Q2
82,Networking,Is the link layer service model in IEEE 802.11 wireless LANs connectionless and unacknowledged,False wireless LANs use acknowledgements at the MAC layer to provide reliable delivery,Medium,University of Calgary Final F2021 solution Q8
83,Networking,Briefly describe how the Pure ALOHA MAC protocol works and where it was used,In Pure ALOHA a station with a frame simply transmits without sensing the channel if a collision happens it waits a random time and retries It was used in early packet radio networks and gives low delay at low load but has many collisions at high load with maximum throughput about 1 over 2e which is around eighteen percent,Medium,University of Calgary Final F2021 solution Q23a
84,Networking,Briefly describe how CSMA CA works and in what environment it is used,CSMA CA is a random access MAC protocol used in IEEE 802.11 wireless LANs A station with a frame listens to the channel and transmits only if idle if busy it defers and later retries after a random backoff Collisions cause further random backoff and methods such as the network allocation vector and optional RTS CTS help avoid collisions especially from hidden nodes,Medium,University of Calgary Final F2021 solution Q23b
85,Networking,Briefly describe the Token Ring MAC protocol and its key property,Token Ring is a turn taking protocol used in older IBM LANs where a single token circulates around a ring of stations A station that has a frame waits for the token seizes it sends its frame then releases the token The protocol is collision free,Medium,University of Calgary Final F2021 solution Q23c
86,Networking,Identify the individual IP networks in the diagram and give one interface address per network.,"Six distinct /24 subnets (e.g., 11.11.12.0/24 ... 11.11.16.0/24).",Medium,UMass CMPSCI453 Final 2002
87,Networking,Four autonomous systems W X Y and Z run BGP with each other to exchange reachability information about p a prefix in network X. X advertises p to Y and Z but not to W. Y advertises p to W and Z. Z advertises p to W but not to Y. For each of the following statements circle True or False. i W may be X transit service provider ii Y and Z must be in a peering relationship iii X and Z may be in a peering relationship iv Y must be X transit service provider,i False ii False iii True iv False,Medium,MIT 6.829 Quiz F2016 Solns
88,Networking,Same two hop path as above. The sender sends two packets back to back each 10 kbit. What queueing delay does the second packet experience at the router in milliseconds,Zero ms,Medium,Stanford CS144 Final Spring 2023 Ans
89,Networking,How does BGP prevent loops before best path selection,A route whose AS Path contains the local AS is ignored so only loop free routes enter best path selection,Medium,Book (Computer Networking Problems and Solutions.)
90,Networking,Which nodes run an intra-domain routing protocol? Which run an inter-domain protocol and what prefix is advertised?,"All run IGP; R4 runs BGP, advertises 11.11/16.",Medium,UMass CMPSCI453 Final 2002
91,Networking,A sender transmits over a two hop path through one router. Link 1 has rate r1 equals 1 Mbit per second length l1 equals two times ten to the five meters and propagation speed c1 equals two times ten to the eight meters per second. Link 2 has rate r2 equals 10 Mbit per second length l2 equals two times ten to the seven meters and propagation speed c2 equals two times ten to the eight meters per second. There is no other traffic and the router is store and forward. If the sender sends one packet of size 20 kbit what is the total end to end delay in milliseconds,123 ms,Medium,Stanford CS144 Final Spring 2023 Ans
92,Networking,"Datagram networks route each packet as a separate unit, independent of all others. Virtual-circuit networks do not have to do this, since each data packet follows a predetermined route. Does this observation mean that virtual-circuit networks do not need the capability to route isolated packets from an arbitrary source to an arbitrary destination?",Virtual circuit networks most certainly need this capability in order to route connection setup packets from an arbitrary source to an arbitrary destination,Medium,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
93,Networking,"If costs are recorded as 8-bit numbers in a 50-router network, and distance vectors are exchanged twice a second, how much bandwidth per (full-duplex) line is chewed up by the distributed routing algorithm? Assume that each router has three lines to other
routers.","The routing table is 400 bits. Twice a second this table is written onto each
line, so 800 bps are needed on each line in each direction.",Medium,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
94,Networking,"In the text it was stated that when a mobile host is not at home, packets sent to its
home LAN are intercepted by its home agent on that LAN. For an IP network on an
802.3 LAN, how does the home agent accomplish this interception?","Conceivably it might go into promiscuous mode, reading all frames dropped onto the LAN, but this is very inefficient. Instead, what is normally done is that the home agent tricks the router into thinking it is the mobile host by responding to ARP requests. When the router gets an IP packet destined for the mobile host, it broadcasts an ARP query asking for the 802.3 MAC-level address of the machine with that IP address. When the mobile host is not around, the home agent responds to the ARP, so the router associates the mobile user’s IP address with the home agent’s 802.3 MAC-level address.",Medium,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
95,Networking,"As a possible congestion control mechanism in a network using virtual circuits internally, a router could refrain from acknowledging a received packet until (1) it knows its last transmission along the virtual circuit was received successfully and (2) it has a free buffer. For simplicity, assume that the routers use a stop-and-wait protocol and that each virtual circuit has one buffer dedicated to it for each direction of traffic. If it takes T sec to transmit a packet (data or acknowledgement) and there are n routers on the path, what is the rate at which packets are delivered to the destination host? Assume that transmission errors are rare and that the host-router connection is infinitely fast.","The protocol is terrible. Let time be slotted in units of T sec. In slot 1 the source router sends the first packet. At the start of slot 2, the second router has received the packet but cannot acknowledge it yet. At the start of slot 3, the third router has received the packet, but it cannot acknowledge it either, so all the routers behind it are still hanging. The first acknowledgement can only be sent when the destination host takes the packet from the destination router. Now the acknowledgement begins propagating back. It takes two full transits of the network, 2(n − 1)T sec, before the source router can send the second packet. Thus, the throughput is one packet every 2(n − 1)T sec.
",Medium,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
